Queries,	Number of Overlapping Results,	Percent Overlap,	Spearman Coefficient
How much does a pound of marijuana cost in the us,	3,	30.0,	-11.75
How do you get the keys in sleuthhound,	2,	20.0,	-8.0
Where is the largest bridgewho built itwhat kind of bridge is it,	0,	0.0,	0
Apakah kraf tangan yang dibuat pada kain songket,	3,	30.0,	-18.0
Why does a carbonated drink become flat when left open,	1,	10.0,	0
Why sacrifice must environment to achieve development,	1,	10.0,	0
How many atoms are contained in eachmolecule of sulfuric acid,	1,	10.0,	0
Who is the most famous african american mathmatician,	3,	30.0,	0.5
What kind of cultures do chile have,	4,	40.0,	-1.1
Gas was used for balloons long time ago,	2,	20.0,	-28.0
Can someone infected with syphillis get symptoms a week later,	3,	30.0,	-6.5
Can dogs eat pomegranite seeds,	0,	0.0,	0
Really interesting facts about hernando cortez,	5,	50.0,	0.30000000000000004
What language ia used in greece,	5,	50.0,	-0.3999999999999999
Who is the most famous artist in guatemala,	3,	30.0,	-9.75
What are some fun sex games,	2,	20.0,	-52.0
How does an elephant attract its mate,	2,	20.0,	-1.0
How many calories in cooked beef,	1,	10.0,	0
How many years do you need to go to college to be a cop,	2,	20.0,	-4.0
Averages,	5.7272727272727275,	57.27272727272727,	-9.580389610389611
